X,Y,Z
-0.066162,0.006592,0.975586
-0.047852,0.005127,0.947266
-0.061523,0.010254,0.97168
0.073486,0.046143,0.928955
0.099609,-0.012939,0.893555
0.100586,0.023438,1.139404
-0.040527,0.023682,1.013672
-0.225586,-0.020996,0.98877
-0.261719,0.083984,1.127441
-0.187988,-0.091797,0.976807
-0.343506,0.066895,0.911133
-0.109375,0.055664,0.960449
-0.08667,0.02417,1.007812
0.075195,0.143066,1.109863
0.271484,-0.146973,0.940186
0.047607,-0.016113,1.070068
0.078369,0.050781,0.96167
0.060303,-0.045166,1.051514
-0.281738,-0.033203,1.025879
-0.218018,-0.016846,0.892822
-0.279297,0.004639,0.949219
-0.151611,-0.016113,0.924316
-0.120605,0.058838,0.971924
-0.059082,0.143555,1.000977
-0.08374,0.061279,0.898193
-0.001221,0.032471,1.120605
0.135742,-0.077637,0.969727
0.005371,0.029053,1.087646
0.055664,0.010742,0.921631
-0.057373,-0.045654,0.966309
-0.066162,0.011719,0.971924
-0.063965,0.008301,0.979004
0.022461,0.049072,0.97876
0.188965,0.05542,1.037842
0.055664,0.013428,1.09668
0.030762,-0.013428,0.974365
-0.337402,0.013184,0.970459
-0.140869,0.07251,0.833496
-0.199951,-0.010986,0.963379
-0.185791,0.060303,0.98877
-0.354004,0.149414,0.942627
-0.135498,0.006348,0.981201
-0.003906,0.000732,1.07373
0.233154,-0.14502,0.967041
0.103027,-0.040283,0.990723
0.038574,-0.087646,0.94043
-0.171143,-0.039795,0.948486
-0.230957,-0.005615,0.964111
-0.064209,0.012207,0.970459
-0.218994,0.158447,0.981689
-0.182617,0.123291,1.123047
0.216309,-0.071777,0.932861
0.202148,-0.128174,1.029785
0.085693,-0.028809,0.937256
0.013428,0.003174,0.975342
0.015381,0.016357,1.01123
-0.065918,-0.041992,0.979492
-0.169434,-0.014404,1.102295
-0.366211,-0.047607,1.000244
-0.067871,0.006592,0.980713
-0.061279,0.007568,0.984375
-0.056885,0.006104,0.957031
0.040283,0.013428,0.919434
0.059326,0.052979,1.135254
-0.050293,-0.005371,1.003174
