X,Y,Z
-0.067139,0.008301,0.984619
-0.067627,0.006348,0.976807
-0.062988,0.009277,0.972412
-0.137207,0.129883,0.953613
-0.202148,0.015869,0.966553
-0.077637,-0.010254,0.970947
-0.030029,0.035889,1.010986
0.14917,-0.033936,1.035645
0.109131,-0.015869,0.987061
0.020264,-0.000977,1.063721
0.032715,0.006836,0.995605
-0.044922,-0.04126,1.19458
-0.206787,0.039307,0.9104
-0.127686,0.062744,0.961914
-0.014404,-0.002441,0.980957
-0.093018,0.164795,1.049561
-0.003174,-0.030518,1.000488
-0.054443,-0.114258,0.910889
-0.114014,-0.115723,0.993896
-0.255615,-0.004639,0.95874
-0.287109,0.032715,1.097168
-0.142578,-0.028076,0.843018
0.044678,-0.150635,0.905762
0.136719,0.01709,1.0271
0.153809,0.000244,0.821777
0.197998,-0.03125,0.749756
-0.01123,0.069092,1.013184
-0.088623,0.010498,0.994873
-0.190674,0.032471,0.978516
-0.255615,0.016357,1.056641
-0.062744,0.010498,0.980225
-0.059082,0.007568,0.964355
-0.066406,0.010498,0.980225
-0.214355,-0.019775,1.039307
-0.215332,0.012695,1.030762
-0.211914,0.088623,0.828369
0.012207,-0.070557,0.915039
0.16626,-0.067383,0.958252
0.183105,-0.040771,1.023193
0.020752,0.018555,0.98584
-0.001221,0.014648,1.036865
-0.001709,-0.069092,0.846924
-0.179443,0.010986,0.856445
-0.060791,0.011719,0.959961
-0.094482,0.158936,0.9375
-0.005371,0.210205,0.996338
-0.051025,0.018066,1.043457
-0.0271,0.024658,1.037354
-0.063721,-0.230469,0.844971
-0.202637,-0.013916,1.078857
-0.355225,0.037354,1.034912
-0.070068,-0.07959,0.852295
0.109375,0.069336,1.188721
-0.06665,0.008789,0.976807
-0.050293,0.05957,1.224121
0.125488,-0.094238,0.705078
0.027588,-0.044189,0.893799
-0.065186,0.003174,0.904297
-0.292969,0.067139,1.015869
-0.171387,0.010986,0.991943
-0.063477,0.008789,0.974854
-0.068115,0.008301,0.979736
-0.066162,0.008789,0.979004
-0.286621,0.063721,0.923828
-0.217041,0.032959,0.911621
-0.118408,0.108398,1.134766
-0.111084,0.069824,0.821777
0.068359,-0.046387,1.032227
0.096924,-0.022949,1.037842
-0.025879,0.013916,0.983643
0.106201,0.009277,0.97168
-0.10083,0.058105,1.01709
-0.26709,0.017822,0.893066
-0.169922,0.09668,1.006836
-0.019531,0.180664,1.002197
0.019775,0.136719,1.027832
-0.126465,-0.186035,0.988281
-0.158691,-0.131836,0.954834
-0.188965,0.060547,0.97168
0.039062,-0.055908,0.914062
0.041992,0.041016,1.131836
0.152832,0.001465,0.992188
-0.013672,0.022705,1.29126
0.009766,-0.008789,1.07666
-0.093018,0.113525,1.07666
-0.298584,0.001709,1.128662
-0.150391,0.016113,0.937012
-0.203857,-0.027588,0.901611
-0.068359,0.015137,0.975586
-0.066406,0.012207,0.978271
-0.068359,0.009521,0.97583
-0.067627,0.011719,0.96875
-0.064209,0.009766,0.974121
-0.239258,-0.071777,0.966064
-0.24707,0.037842,0.977295
-0.212646,0.018555,0.812988
-0.091797,-0.075684,0.820801
0.035156,-0.050293,1.005615
-0.044189,0.001221,1.074463
0.109131,0.031494,0.968994
0.164307,-0.009521,0.979492
0.021729,0.03418,1.006836
0.022461,-0.018066,0.907471
-0.255615,0.008057,0.94165
-0.147461,0.033691,0.964844
-0.041992,0.043457,0.955566
-0.050537,0.084229,1.095947
-0.030029,0.060791,0.891846
-0.03833,0.063965,0.984131
-0.057129,-0.219238,0.875
-0.221924,-0.067139,0.944824
-0.256836,0.136475,1.11499
0.062988,-0.027832,0.750244
0.002197,0.010742,0.918457
0.060791,0.012695,1.054199
-0.064941,0.016846,0.973633
-0.05249,0.015381,1.210693
0.017822,0.027588,1.159912
-0.108887,0.058594,0.968506
-0.065186,0.021973,1.038086
-0.065186,0.011963,0.973877
-0.071777,0.018555,1.026855
-0.064941,0.014404,0.97998
-0.208008,-0.003174,0.993652
-0.257324,0.023193,0.801514
-0.084961,0.07959,0.911377
-0.016602,0.038086,1.072266
0.160645,-0.033691,0.9104
0.099609,-0.000244,1.050781
0.186768,-0.001709,1.046631
0.114502,0.02417,0.910156
-0.100342,0.052002,1.074707
-0.307617,0.116455,0.850586
-0.139404,0.105713,0.98291
-0.159912,0.185547,1.126465
-0.052246,0.104248,1.016113
0.084229,-0.093506,0.716797
-0.082031,-0.232178,1.063477
-0.168945,-0.000488,0.981445
-0.221191,0.061768,0.997559
