X,Y,Z
-0.06665,0.009521,0.981934
-0.064697,0.012695,0.972168
-0.062988,0.005615,0.979736
-0.066162,0.009766,0.970459
-0.133545,0.029053,1.077148
-0.250488,0.036865,0.92334
-0.189697,0.079102,1.0
0.227051,0.039062,0.98584
-0.013184,0.161377,0.706299
0.05542,0.104004,1.001221
0.147461,-0.020508,0.96167
0.095703,-0.050537,0.999268
-0.005859,-0.153564,0.932129
0.007812,-0.098389,0.792725
-0.073242,0.020752,1.074707
-0.364746,0.141602,1.064697
-0.078857,0.045898,0.97583
-0.08667,0.092529,1.03418
-0.034424,0.145264,0.977539
-0.033447,0.050293,1.060791
0.001953,0.036133,0.987061
-0.079834,-0.037109,1.018311
-0.067383,-0.079346,1.036865
-0.269531,-0.036865,1.141602
-0.172607,-0.044922,0.966553
-0.064941,0.007812,0.976074
-0.063721,0.008545,0.97876
-0.067627,0.008057,0.978516
-0.066895,0.006836,0.973877
-0.065186,0.007812,0.975342
-0.065674,0.009521,0.977539
-0.064697,0.01123,0.979492
-0.062256,0.01001,0.981934
-0.060059,0.010986,0.977783
-0.06958,0.02417,0.986084
-0.163818,-0.032227,0.882324
-0.188232,0.082031,0.91748
-0.179932,-0.039307,0.998535
-0.10376,0.025391,0.802734
0.000488,0.105225,0.987549
0.168945,0.133301,0.937012
0.091797,0.154297,1.094727
-0.018555,-0.007568,1.026123
-0.016113,-0.062988,0.954346
0.021973,-0.074707,0.954102
0.037598,-0.061279,0.874756
-0.134277,0.035889,1.145264
-0.151367,0.088623,1.064209
-0.336426,0.219482,1.120605
-0.068359,0.011719,0.976562
-0.064697,0.012207,0.976807
-0.076416,0.077148,1.007324
0.010254,0.042725,0.939453
-0.03833,0.016357,0.931641
0.021484,0.02002,0.877197
-0.047363,-0.058838,1.059082
0.032471,0.003174,1.010986
-0.032471,0.010986,0.972412
-0.204834,-0.038574,0.921387
-0.104736,-0.003174,0.981689
-0.060791,0.008789,0.976074
-0.062744,0.009277,0.984131
-0.063965,0.011719,0.975342
-0.065674,0.010254,0.969482
-0.230957,0.056152,0.966553
-0.034424,-0.027344,0.964111
-0.220459,0.078369,1.165527
-0.08252,0.001221,0.984131
-0.150391,-0.009766,0.988281
-0.082031,0.029785,1.034668
0.231445,-0.024414,0.241699
0.18042,0.030762,0.908447
0.046143,0.052002,1.102783
0.05249,-0.158203,0.89209
0.101562,-0.143311,0.767578
-0.1521,-0.032471,1.251221
0.013916,-0.138184,0.830078
-0.008789,0.016846,0.86084
-0.298096,0.237793,0.910156
-0.063477,0.01123,0.97583
-0.064453,0.012939,0.979492
-0.10498,0.076172,0.963135
-0.046875,0.043457,1.003906
0.029785,0.040527,0.989014
-0.179199,-0.04834,1.167725
-0.027344,0.005615,0.948486
0.001465,-0.075195,0.817871
-0.198486,-0.051514,0.925537
-0.157471,0.019287,0.966064
-0.067871,0.010498,0.981934
-0.061279,0.008789,0.975342
-0.065674,0.010254,0.9729
-0.060547,0.010986,0.980469
-0.067139,0.006348,0.972168
-0.063721,0.010498,0.976562
-0.191162,-0.006592,0.866943
-0.299805,0.088379,1.162354
-0.101807,0.024658,0.935303
-0.05542,-0.021729,0.918945
-0.059326,0.05542,1.02417
0.049805,0.128906,0.832764
0.050049,0.074707,0.925781
0.063721,0.122314,1.145508
0.096436,0.050049,1.00415
0.009277,-0.029297,1.081787
-0.037598,-0.056396,0.969238
0.009277,-0.092773,1.028564
-0.128174,-0.047607,1.054199
-0.076904,0.046387,1.04541
-0.116211,0.217529,0.875244
-0.051758,0.063965,0.958496
-0.015137,0.099854,0.966064
-0.032715,-0.020264,0.903076
-0.017334,-0.014893,0.860596
-0.120605,-0.047852,0.991211
-0.058105,0.017578,0.990967
0.043945,0.004883,0.838867
-0.153809,-0.036621,1.024414
-0.102539,-0.012451,0.962158
-0.067139,0.004639,0.97998
-0.065918,0.01123,0.976562
-0.066406,0.005859,0.97168
-0.119385,-0.011963,0.954346
-0.062988,0.026123,0.966797
-0.177002,-0.01123,0.982178
-0.213135,0.009766,0.941895
-0.000977,-0.011475,0.943848
0.032959,0.02832,0.88916
